Course name,Course link,Cover image,Institution,Verified,Start date,Self Paced,Video link,Short description,Course provider image(LOGO),Enroll now link,About course,Overall rating,All reviews,Instructor name,instructor details,Instructor photo,Course price,length,Effort,Subject,Level,Video transcript,Languages
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Exchange Server 2016 - 3: Mailbox Databases,https://www.edx.org/course/microsoft-exchange-server-2016-3-mailbox-microsoft-cld208-3x-3,Images/https://www.edx.org/sites/default/files/course/image/promoted/cld208x_courseimage_378x225_1.jpg,Microsoft,Yes,,Yes,Missing,"Learn how to plan and configure mailbox databases, including backup, recovery and restoration.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD208.3x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"In this computer science course, you will learn how to plan and design the key component of the Microsoft Exchange infrastructure: the mailbox server.
Mailbox servers host mailbox databases and address books, handle message transport and routing, and provide unified messaging services.",0/5,0 Reviews,Martin Coetzer,"Senior Content Developer, Learning eXperiences Team
Microsoft Corporation",None,FREE,4 modules,3-5 hours per module,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft SharePoint Online for Site Administrators,https://www.edx.org/course/microsoft-sharepoint-online-site-microsoft-cld216x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/cld216x_course_banner.jpg,Microsoft,Yes,,Yes,Missing,"Learn the skills to implement and administer a SharePoint Online solution, one of the hottest features in Office 365, for your organization or clients.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD216x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Are you an IT Professional looking to streamline your work environment to the cloud and still provide a grounded collaboration experience?
SharePoint online is one of the hottest features in Office 365. It allows organizations to collaborate in a variety of different ways. This course is designed to provide you with the necessary skills to implement SharePoint Online, provide rich site architecture and articulate search, as well as improve the productivity experience for your virtual teams.",Missing,Missing,Christina Singletary,"Senior Content Developer
Microsoft",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Exchange Server 2016 - 4: Transport Services,https://www.edx.org/course/microsoft-exchange-server-2016-4-microsoft-cld208-4x-3,Images/https://www.edx.org/sites/default/files/course/image/promoted/cld208x_courseimage_378x225_2.jpg,Microsoft,Yes,,Yes,Missing,"Learn how to plan and configure message transport services, including antivirus, malware and spam-filtering solutions.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD208.4x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This computer science course describes planning and configuring message transport in a Microsoft Exchange Server 2016 organization. Specifically, you will plan a solution that meets SLA requirements for message delivery. You will plan and configure malware, connection, recipient, and spam filtering. In addition, you will plan, create and configure MX records for failover scenarios; manage resubmission and reroute queues; as well as test and perform steps for transport failover and switchover.",0/5,0 Reviews,Martin Coetzer,"Senior Content Developer, Learning eXperiences Team
Microsoft Corporation",None,FREE,4 modules,3-5 hours per module,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Exchange Server 2016 - 5: Hybrid Topologies with Office 365,https://www.edx.org/course/microsoft-exchange-server-2016-5-hybrid-microsoft-cld209-1x-3,Images/https://www.edx.org/sites/default/files/course/image/promoted/cld209x_courseimage_378x225.jpg,Microsoft,Yes,,Yes,Missing,"Learn how to plan, deploy, and troubleshoot on-premises Exchange Server 2016 with Office 365.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD209.1x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Is your Microsoft Exchange 2016 organization planning to coexist with or transition to Office 365? If so, you need to setup a hybrid topology with Office 365. In this computer science course, you will learn how to plan coexistence with Exchange 2016 and Office 365 as well as plan, deploy and manage a hybrid configuration.
Evaluate limitations of the Hybrid Configuration Wizard
Plan and manage hybrid deployment OAuth-based authentication
Plan and configure certificate and firewall requirements for Exchange Hybrid set-up
Troubleshoot transport and client access with Exchange Online
Troubleshoot directory synchronization
Troubleshoot AD remediation for directory synchronization
Plan create and configure namespaces for coexistence
Plan and configure proxy redirect
Plan firewall configuration for coexistence
Plan and configure for mail flow requirements
Plan for mailbox migrations.",0/5,0 Reviews,Martin Coetzer,"Senior Content Developer, Learning eXperiences Team
Microsoft Corporation",None,FREE,4 modules,3-5 hours per module,Computer Science,Advanced,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Managing Microsoft Exchange Online in Office 365,https://www.edx.org/course/managing-microsoft-exchange-online-microsoft-cld222x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/office365_cld222.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/office365_cld222_318x210.jpg?itok=bax4BPDn,Learn how to manage and configure Exchange Online in Office 365. ,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD222x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"In this computer science course, you will learn how to set up and use Exchange Online, a hosted messaging application within Microsoft Office 365 that provides organizations with access to the full-featured version of Exchange Server. You will learn how to run your messaging system in Office 365. We will cover the various types of email recipients that are available and how to manage the email domains for them. We will guide you through the email protection capabilities of Office 365 and will show you how to manage the clients and mobile devices accessing their email in Office 365. You will learn about the archiving and security features in Exchange Online. Finally, you will learn how to move your existing messaging system to Office 365.",0/5,0 Reviews,Siegfried Jagott,"CEO and Principal Consultant
atwork deutschland GmbH",None,FREE,9 weeks,3-5 hours per module,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft SharePoint 2016: Infrastructure,https://www.edx.org/course/microsoft-sharepoint-2016-infrastructure-microsoft-cld211-1x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/cld211x_course_banner_378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/cld211x_course_banner_318x210.jpg?itok=i8Xq9gB5,Learn how to plan and configure the infrastructure requirements for SharePoint Server 2016.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD211.1x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"In Microsoft SharePoint 2016 Infrastructure, you will learn how to plan and configure a SharePoint on premise solution. You will learn about the necessary hardware and software requirements, the overall methodology to SharePoint Architecture, as well as how to deploy and configure the SharePoint environment.",0/5,0 Reviews,Christina Singletary,"Senior Content Developer
Microsoft",None,FREE,9 modules,3-5 hours per module,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Provisioning Databases in Azure and SQL Server,https://www.edx.org/course/provisioning-databases-azure-sql-server-microsoft-dat219x-1,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat219x_banner_378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat219x_banner_318x210.jpg?itok=CQkClu70,"Learn how to install or provision SQL Server 2016, SQL Server v.Next on Linux, and Azure SQL Databases.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT219x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"The role of a SQL Server database administrator has expanded from the server rack to the datacenter to the cloud, and from Windows Server OS to Platform as a Service and Linux. This computer science course introduces features and technologies for implementing a database. Topics include:
Considerations for Deploying SQL Server
Deploying SQL Server to various environments and scenarios
Migrating databases between versions and platforms
Note",0/5,0 Reviews,Chris Randall,"Senior Content Developer, Microsoft Learning Experiences
Microsoft",None,FREE,3 weeks,2-3 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Developing Business Applications with Power Apps and Microsoft Flow,https://www.edx.org/course/developing-business-applications-power-microsoft-dat227x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat227x-courseimage-378225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat227x-courseimage-318210.jpg?itok=PCEKrYYs,"Learn how to build business apps that work on phones, tablets and browsers without writing any code.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT227x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"The way we do work today is fundamentally different than just a few years ago. Work happens on our phones, tablets and laptops everywhere we go: on manufacturing floors, in airplanes or at customer meetings. And yet, the apps we use to do business have been slow to keep pace with employee demand. Not every business problem can be solved with off-the-shelf solutions, but developing custom solutions has traditionally been too costly and time consuming.",04-May,1 Reviews,Michael Blythe,"Sr. Content Developer
Microsoft Corporation",None,FREE,6 weeks,4-8 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Managing SQL Server Operations,https://www.edx.org/course/managing-sql-server-operations-microsoft-dat247x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat247x_378.jpg,Microsoft,Yes,,Yes,Missing,"Learn best practices for automating, monitoring, and maintaining SQL Server.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT247x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"SQL Server database administrators know how important it is to automate routine administrative tasks and systems.
Learn best practices in this course, part of the SQL Server Database Administration series.",0/5,0 Reviews,Chris Randall,"Senior Content Developer, Microsoft Learning Experiences
Microsoft",None,FREE,4 weeks,2-3 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Recovering Data in Azure and SQL Server,https://www.edx.org/course/recovering-data-azure-sql-server-microsoft-dat244x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat244x.jpg,Microsoft,Yes,,Yes,Missing,Be prepared. Learn how to use Azure and SQL Server to back up and recover your data.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT244x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Is your data protected against disaster? Database administrators, regardless of platform need to be ready, whether working with SQL Server 2016, SQL Server v.Next on Linux, or Azure SQL Databases.
In this course, which is part of the SQL Server Database Administration series, you’ll explore the various recovery models you can set up.",0/5,0 Reviews,Chris Randall,"Senior Content Developer, Microsoft Learning Experiences
Microsoft",None,FREE,4 weeks,2-3 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Windows Server 2016: Advanced Networking,https://www.edx.org/course/windows-server-2016-advanced-networking-microsoft-inf218x,Images/https://www.edx.org/sites/default/files/course/image/promoted/inf218x-378.png,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/inf218x-318.png?itok=LAPubxqI,"Learn how to configure and manage advanced networking features in Windows Server 2016, including VPN, Remote Desktop Services and Software Defined Networking (SDN).",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BINF218x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"In this course, you will learn about network solutions you can implement in your organization. You will learn how to enable user access and secure communications, protect data, connect and run remote software, and virtualize your network infrastructure.

This course can help you:
Improve your skills in implementing a networking infrastructure;
Decide if a career in IT is for you;
Prepare for an introductory job in Windows Server administration;
Study for Microsoft certification tests and badges.


INF214x, Basic Networking",Missing,Missing,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Introduction to ReactJS,https://www.edx.org/course/introduction-reactjs-microsoft-dev281x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev281x378-225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev281x318-210.jpg?itok=hkP1kECY,"Learn why developers love ReactJS, an open-source JavaScript library for building user interfaces, in this introductory course.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV281x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"ReactJS is the latest JavaScript framework to capture the hearts and attention of the frontend developer community.
Developers love ReactJS because it highly performant and renders changes almost instantly. The best part about ReactJS is that it is a relatively small framework and does not take too much time to learn!",3.5/5,1 Reviews,Benjamin Lin,"Content Developer
Microsoft",None,FREE,3 weeks,3-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Optimizing Performance for SQL Based Applications,https://www.edx.org/course/optimizing-performance-sql-based-microsoft-dat215-5x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat215.5_378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat215.5_318x210.jpg?itok=Cl_9narA,Learn the key points required to tune and optimize the performance of your SQL based applications.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT215.5x%2B5T2017&enrollment_action=enroll&email_opt_in=true,"Maximizing performance of your SQL based applications ranges from optimization of your database, to various tools and techniques for monitoring and tuning your environments. In this course you’ll learn techniques to run highly performant applications that use SQL Server.
This course is part of the Microsoft SQL Database Development XSeries.",Missing,Missing,Geoff Allix,"Microsoft Certified IT Professional for SQL Server
Content Master",None,FREE,4 weeks,2-3 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Python: Absolute Beginner,https://www.edx.org/course/introduction-python-absolute-beginner-microsoft-dev236x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev236x.png,Microsoft,Yes,,Yes,Missing,"In this course that’s perfect for true beginners, learn Python basics and start coding right away.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV236x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Brand new to text-based programming? Check out this hands-on course for an in-depth look at the details of Python layers and concepts. Get ample practice drills and projects, using Jupyter Notebooks on Azure, which require only a browser and an Internet connection. Learn best practices and begin coding almost immediately.
Introduction to Python: Fundamentals",Missing,Missing,Eric Camplin,"Senior Content Developer
Microsoft",None,FREE,5 weeks,3-4 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Python: Fundamentals,https://www.edx.org/course/introduction-python-fundamentals-microsoft-dev274x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev274x.png,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev274x_318x210.jpg?itok=JP9q3600,"Build on what you learned in the “Introduction to Python: Absolute Beginner” course, and dig into data structure basics.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV274x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Ready for more hands-on, step-by-step Python fundamentals? Add to the foundational experience you got in the Introduction to Python: Absolute Beginner, and explore data structures. Get lots of practice working with sample code in Jupyter Notebooks on Azure, which require only a browser and an Internet connection.",Missing,Missing,Eric Camplin,"Senior Content Developer
Microsoft",None,FREE,5 weeks,3-4 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Design Thinking,https://www.edx.org/course/introduction-design-thinking-microsoft-dev241x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev241x-378225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev241x-318210.jpg?itok=ZonyYcZg,Design Thinking is a creative process that combines thoughtful user research with rapid iteration. Learn why it becomes an industry standard all over the world.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV241x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Want to take your design skills to the next level? Join a team of industry experts on this practical and informative journey from concept to conclusion.
This course will introduce you to the Design Thinking process and illustrate best practices for each step along the way. You’ll find this is an incredibly powerful tool for any field: from Engineering to Entrepreneurship and beyond.",Missing,Missing,Adrian Leven,"Content Developer
Microsoft",None,FREE,5 weeks,3-4 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Logic and Computational Thinking,https://www.edx.org/course/logic-computational-thinking-microsoft-dev262x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev262x-378225.jpg,Microsoft,Yes,,Yes,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev262x-318210.jpg?itok=f8iVomqI,Build a solid foundation for programming by learning basic logic and exploring how logic forms the foundation of computer programs.,https://webview.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV262x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Understanding how a computer ""thinks"" is one of the first steps to becoming an excellent computer programmer. A foundation in logic is crucial in developing this understanding. Mastering logic is more than learning a set of rules. It involves learning how to break problems into smaller chunks, figuring out how repeatable processes can save time and improve quality, and understanding how to organize problems into the right size.",Missing,Missing,Paul Pardi,"Principal Content Developer
Microsoft Corporation",None,FREE,4 weeks,2-3 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Learn to Program in Java,https://www.edx.org/course/learn-program-java-microsoft-dev276x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev276x-378225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev276x-318210.jpg?itok=OkHjmyNV,Get started on the path to becoming a software engineer by learning core coding skills in Java—one of the most popular programming languages.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV276x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Ready to start your programming journey? Being a software engineer is much more than simply writing code—it requires a strong conceptual understanding of computer science. In this course, which was developed through a combination of academic and industry perspectives, learn not only how to code in Java but also how to break down problems and implement their solutions using some of the most fundamental computer science tools.",Missing,Missing,Kasey Champion,"Learning Team
Microsoft",None,FREE,4 weeks,6-10 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Object Oriented Programming in Java,https://www.edx.org/course/object-oriented-programming-java-microsoft-dev277x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev277x_copy-378225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev277x_copy-318210.jpg?itok=LDuQTFIT,"One of the most important skills in software development is designing how code is organized. In this Java course, learn how to apply industry-standard practices as you structure your software.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV277x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"What do hiring managers look for in entry-level developers? According to a recent survey, one of the most requested job skills is ""strong object oriented design."" Yet traditional computer science programs rarely focus on this area.
In this Java course, examine the role of objects in code, explore how to use them, and see how to design them for optimal code reuse and structure. Get tons of hands-on coding experience using popular Java objects, like Arrays and Lists, and then leverage those learnings to design your own object hierarchies. Plus, practice using inheritance, interfaces, abstract classes, and encapsulation techniques to help you manage large code bases.",Missing,Missing,Kasey Champion,"Learning Team
Microsoft",None,FREE,4 weeks,6-10 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Algorithms and Data Structures,https://www.edx.org/course/algorithms-data-structures-microsoft-dev285x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev285x-378225_0.jpg,Microsoft,Yes,,Yes,Missing,Learn how to write faster and more efficient code against the backdrop of famous algorithms.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV285x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Want to build better programs? Learn how, in this professional-level course.
Bring your programming experience, and join us for a deep dive into fundamental concepts that you can use right away. Go underneath the hood of functional algorithms and data structures, and see how they work and how to compare them. Plus, get the details on when and how to use them.",Missing,Missing,Sari Kulthm,"Senior Content Developer
Microsoft Corporation",None,FREE,5 weeks,3-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Developing International Software,https://www.edx.org/course/developing-international-software-microsoft-dis50x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/developing_international_software_378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/developing_international_software_318x210.jpg?itok=_HU9k0Ro,Learn how to design and develop software for international use from experts who’ve helped create some of the world’s most successful software.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDIS50x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"When you’re designing and developing new software, it’s easy to get laser-focused on getting it functional and into the market or deployed as soon as possible. Thus, many engineering teams develop software that supports their native language first, postponing support for other languages until “later,” when they think they will have the bandwidth. In other words, they don’t plan ahead. The problem with this approach, which experienced developers have found out the hard way, is that it sacrifices budget, time, and opportunity.",Missing,Missing,Björn Rettig,"Senior Director for Technical Content, Learning Experiences
Microsoft",None,FREE,12 weeks,3-5 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Developing IoT Solutions with Azure IoT,https://www.edx.org/course/developing-iot-solutions-azure-iot-microsoft-dev225x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev225x.png,Microsoft,Yes,,Yes,Missing,Start creating and managing your own connected IoT devices today using secure Microsoft Azure technologies.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV225x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Ready to take your first steps in IoT device development? Bring your basic programming skills, and get started with this practical exploration of what IoT means and how to use Microsoft Azure technologies in IoT solutions. See how IoT is being implemented by businesses around the world, and configure and implement your own end-to-end IoT solution using the Azure IoT Hub.",Missing,Missing,Geoffrey Morgan,"Senior Developer
Crank211",None,FREE,4 weeks,2-3 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Introduction,https://www.edx.org/course/javascript-introduction-w3cx-js-0x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/js-introduction_378x225.jpg,W3Cx,Yes,,Yes,Missing,"Learn JavaScript, a Web development programming language, to add interactivity to your Web pages, and become an expert Web developer.",https://www.edx.org/sites/default/files/school/image/w3c-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AW3Cx%2BJS.0x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of W3C's ""Front-End Web Developer"" Professional Certificate and Microsoft's Professional Program Certificate in Front-End Web Development.
This computer science course is an initiation to JavaScript programming and has been designed to help Web developers have an understanding of the basic concepts of the language. This course was developed in partnership between W3C and University Côte d'Azur.
HTML5, CSS and JavaScript are the “classic three” for developers and designers;
It allows you to add interactivity to your Web sites;
You can use JavaScript and HTML5 APIs to create custom graphics and animation, and to master multimedia using audio and video players, music and sound effects;
It is powerful, easy to learn, and quick to write;
It has great tools (editors, runtimes, lint tools, browsers, and third party libraries) as well as great online support through plenty of active open source communities.",4.5/5,14 Reviews,Michel Buffa,"Professor
University Côte d’Azur",None,FREE,5 weeks,6-8 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Excel によるデータの分析と可視化,https://www.edx.org/course/excel-niyorudetanofen-xi-toke-shi-hua-microsoft-dat206x-jpn-1,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat206x-course_card_image-378x225_0.png,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat206x-about_page_image-318x210_0.png?itok=hdqx1BiG,データを収集、変換、分析、可視化するために、データ・サイエンティストがよく使う一般的なツールの1つ、Excel であなたのスキルを磨きましょう。,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT206x_JPN%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Excel は、データの分析と可視化の目的で広く使われているソリューションの 1 つです。改善された可視化と高度なビジネスロジックを備えた、より多くのデータの分析を可能にするツールが含まれています。このコースでは、Excel 2016でこれらの新しいツールの最新バージョンを、Microsoft Excel製品チームのエキスパートより紹介します。
各種のソースからデータをどのようにインポートするかを学び、データソースを組み合わせてマッシュアップを作成し、分析用のデータを準備します。データを準備した後、ビジネス計算がDAX 計算エンジンを使ってどのように表現されるかを、明らかにします。どのようにしてデータを可視化するか、 Power BI クラウド サービスに共有するかを見ていきます。その後、ダッシュボードで利用できるようにし、簡単な英文を使って質問したり、モバイル デバイスでも利用できます。
DAT205x: Introduction to Data Analysis using Excel
Microsoft Excel for the Data Analyst XSeries",Missing,Missing,Nishimura Takahiro,"Presenter
Microsoft",None,FREE,6 週間,2 ～ 4 時間/週,Data Analysis & Statistics,Intermediate,日本語,日本語
,,,,,,,,,,,,,,,,,,,,,,,
Deep Learning Explained,https://www.edx.org/course/deep-learning-explained-microsoft-dat236x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat236x-courseimage_378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat236x-courseimage_318x210.jpg?itok=CEMA7sca,Learn an intuitive approach to building the complex models that help machines solve real-world problems with human-like intelligence.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT236x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Machine learning uses computers to run predictive models that learn from existing data to forecast future behaviors, outcomes, and trends. Deep learning is a sub-field of machine learning, where models inspired by how our brain works are expressed mathematically, and the parameters defining the mathematical models, which can be in the order of few thousands to 100+ million, are learned automatically from the data.",Missing,Missing,Sayan Pathak PhD.,"Principal ML Scientist and AI School Instructor, CNTK team
Microsoft",None,FREE,6 weeks,4-8 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
